Type, AC, HitPercent
AofD, 1,1.0
AofD, 2,0.99048953
AofD, 3,0.96393289
AofD, 4,0.92305121
AofD, 5,0.87039616
AofD, 6,0.8086076
AofD, 7,0.73991735
AofD, 8,0.66650745
AofD, 9,0.59044764
AofD, 10,0.51350025
AofD, 11,0.43756972
AofD, 12,0.36392477
AofD, 13,0.29439341
AofD, 14,0.22999939
AofD, 15,0.17193598
AofD, 16,0.12107869
AofD, 17,0.07841458
AofD, 18,0.04447883
AofD, 19,0.01989344
AofD, 20,0.00499548
DofA, 1,1.0
DofA, 2,0.99500627
DofA, 3,0.98007728
DofA, 4,0.95549645
DofA, 5,0.92163635
DofA, 6,0.87887448
DofA, 7,0.82807314
DofA, 8,0.76998208
DofA, 9,0.70555178
DofA, 10,0.6359803
DofA, 11,0.56247016
DofA, 12,0.48647687
DofA, 13,0.40961259
DofA, 14,0.33357561
DofA, 15,0.26003804
DofA, 16,0.19147521
DofA, 17,0.12959993
DofA, 18,0.07696849
DofA, 19,0.03608092
DofA, 20,0.00949347
S, 1,1.0
S, 2,0.95000134
S, 3,0.8999558
S, 4,0.84997629
S, 5,0.79995347
S, 6,0.74994216
S, 7,0.70004706
S, 8,0.65002731
S, 9,0.59998718
S, 10,0.55002846
S, 11,0.50004677
S, 12,0.45004112
S, 13,0.39991475
S, 14,0.34999164
S, 15,0.30005189
S, 16,0.24998517
S, 17,0.2000014
S, 18,0.1500088
S, 19,0.09999123
S, 20,0.04996702